Id_vente;montant;date;Id_bien_immobilier
139;221060;2020-01-03 00:00:00;139
140;42000;2020-01-03 00:00:00;140
141;445000;2020-01-03 00:00:00;141
142;174845;2020-01-03 00:00:00;142
143;232750;2020-01-03 00:00:00;143
144;125000;2020-01-03 00:00:00;144
145;257800;2020-01-03 00:00:00;145
146;104792,58;2020-01-03 00:00:00;146
147;146000;2020-01-03 00:00:00;147
148;174000;2020-01-03 00:00:00;148
149;110000;2020-01-03 00:00:00;149
150;370700;2020-01-03 00:00:00;150
151;62800;2020-01-03 00:00:00;151
152;251105;2020-01-03 00:00:00;152
153;342700;2020-01-03 00:00:00;153
154;65000;2020-01-03 00:00:00;154
155;133000;2020-01-03 00:00:00;155
156;140000;2020-01-03 00:00:00;156
157;112000;2020-01-03 00:00:00;157
158;594700;2020-01-03 00:00:00;158
159;66370;2020-01-03 00:00:00;159
160;71000;2020-01-03 00:00:00;160
161;121000;2020-01-03 00:00:00;161
162;109950;2020-01-03 00:00:00;162
163;314500;2020-01-03 00:00:00;163
164;164720;2020-01-03 00:00:00;164
165;273080;2020-01-03 00:00:00;165
166;167600;2020-01-03 00:00:00;166
167;157080;2020-01-03 00:00:00;167
168;118650;2020-01-03 00:00:00;168
169;157000;2020-01-03 00:00:00;169
170;63885;2020-01-03 00:00:00;170
171;255000;2020-01-03 00:00:00;171
172;93200;2020-01-03 00:00:00;172
173;34500;2020-01-03 00:00:00;173
174;116000;2020-01-03 00:00:00;174
175;93800;2020-01-03 00:00:00;175
176;135450;2020-01-03 00:00:00;176
177;131600;2020-01-03 00:00:00;177
178;98000;2020-01-03 00:00:00;178
179;172500;2020-01-03 00:00:00;179
180;142000;2020-01-03 00:00:00;180
181;205000;2020-01-03 00:00:00;181
182;440000;2020-01-03 00:00:00;182
183;141000;2020-01-03 00:00:00;183
184;102000;2020-01-03 00:00:00;184
185;596370;2020-01-03 00:00:00;185
186;93000;2020-01-03 00:00:00;186
187;212231;2020-01-03 00:00:00;187
188;196100;2020-01-03 00:00:00;188
189;185000;2020-01-03 00:00:00;189
190;113000;2020-01-03 00:00:00;190
191;331000;2020-01-03 00:00:00;191
192;97000;2020-01-03 00:00:00;192
193;300000;2020-01-03 00:00:00;193
194;150020;2020-01-03 00:00:00;194
195;99840;2020-01-03 00:00:00;195
196;305000;2020-01-03 00:00:00;196
197;138000;2020-01-03 00:00:00;197
198;148570;2020-01-03 00:00:00;198
199;121000;2020-01-03 00:00:00;199
200;105840;2020-01-03 00:00:00;200
201;33000;2020-01-03 00:00:00;201
202;40000;2020-01-03 00:00:00;202
203;56650;2020-01-03 00:00:00;203
204;360000;2020-01-03 00:00:00;204
205;160000;2020-01-03 00:00:00;205
206;244000;2020-01-03 00:00:00;206
207;171000;2020-01-03 00:00:00;207
208;213500;2020-01-03 00:00:00;208
209;255680;2020-01-03 00:00:00;209
210;157500;2020-01-03 00:00:00;210
211;348450;2020-01-03 00:00:00;211
212;298333;2020-01-03 00:00:00;212
213;312450;2020-01-03 00:00:00;213
214;326200;2020-01-03 00:00:00;214
215;662300;2020-01-03 00:00:00;215
216;164000;2020-01-03 00:00:00;216
217;161320;2020-01-03 00:00:00;217
218;254000;2020-01-03 00:00:00;218
219;284984;2020-01-03 00:00:00;219
220;302000;2020-01-03 00:00:00;220
221;291262;2020-01-03 00:00:00;221
222;435000;2020-01-03 00:00:00;222
223;300800;2020-01-03 00:00:00;223
224;857950;2020-01-03 00:00:00;224
225;877100;2020-01-03 00:00:00;225
226;213615;2020-01-03 00:00:00;226
227;227600;2020-01-03 00:00:00;227
228;548000;2020-01-03 00:00:00;228
229;318700;2020-01-03 00:00:00;229
230;349000;2020-01-03 00:00:00;230
231;380000;2020-01-03 00:00:00;231
232;256760;2020-01-03 00:00:00;232
233;142100;2020-01-03 00:00:00;233
