nom_commune,Augmentation_%
LE DEVOLUY,1000
LE GRAU DU ROI,56.759999999999998
LE MANS,63.640000000000001
LE PALAIS,400
LE PASSAGE,50
LE PERREUX-SUR-MARNE,31.25
LE PIN,200
LE PLESSIS BELLEVILLE,400
LE PLESSIS PATE,300
LE PLESSIS-TREVISE,41.670000000000002
LE PONTET,66.670000000000002
LE PRADET,200
LE PUY EN VELAY,85.709999999999994
LE TEICH,40
LE TOUQUET PARIS PLAGE,150
LE VERDON SUR MER,33.329999999999998
LECCI,40
LEOGNAN,100
LEON,100
LES ALLUES,50
LES GETS,100
LES HOUCHES,400
LES ULIS,71.430000000000007
LESIGNY,42.859999999999999
LESPARRE-MEDOC,100
LEUCATE,20.690000000000001
LEVALLOIS-PERRET,44.829999999999998
LEVENS,300
LEZIGNAN-CORBIERES,300
LIANCOURT,100
LIBOURNE,140
LIEUSAINT,71.430000000000007
LILLE,40.299999999999997
LILLEBONNE,100
LIMAY,33.329999999999998
LIMEIL-BREVANNES,25
LINAS,20
LISSES,100
LONGJUMEAU,33.329999999999998
LONGPONT-SUR-ORGE,25
LONS,600
LORGUES,200
LORIENT,175
LOUVECIENNES,50
LOUVRES,200
LUCE,700
LYON 1ER,36.359999999999999
LYON 2EME,31.030000000000001
LYON 3EME,680
LYON 5EME,45.829999999999998
LYON 6EME,200
LYON 7EME,785.71000000000004
LYON 8EME,1666.6700000000001
LYON 9EME,33.329999999999998
MACON,600
MAGNY-LES-HAMEAUX,125
MAISONS-ALFORT,25
MANDRES-LES-ROSES,33.329999999999998
MANIGOD,133.33000000000001
MANTES-LA-JOLIE,90
MARCILLY-D AZERGUES,100
MARCQ EN BAROEUL,50
MARCY-L ETOILE,100
MAREIL-MARLY,33.329999999999998
MARGNY LES COMPIEGNE,50
MARIN,100
MARMANDE,100
MARSEILLAN,50
MARSILLARGUES,100
MARTIGNAS SUR JALLE,100
MATOURY,100
MAUGUIO,33.329999999999998
MAUREPAS,120
MAYENNE,100
MEAUX,46.880000000000003
MEGEVE,40
MELUN,95
MENDE,200
MENTON,27.5
MERIEL,50
MERS-LES-BAINS,33.329999999999998
MERY-SUR-OISE,25
MESNIL-ESNARD (LE),100
MEYZIEU,333.32999999999998
MEZIERES-SUR-SEINE,50
MILHAUD,100
MIMIZAN,50
MINIAC-MORVAN,100
MITRY MORY,66.670000000000002
MOISSY-CRAMAYEL,100
MONFLANQUIN,100
MONNETIER-MORNEX,100
MONT SAINT MARTIN,100
MONT-SAINT-AIGNAN,175
MONTAIGU-VENDEE,100
MONTARGIS,166.66999999999999
